문장	여성/가족	남성	성소수자	인종/국적	연령	지역	종교	기타 혐오	악플/욕설	clean	개인지칭
일단 선처같은거 해주지마라 인실좆	0	0	0	0	0	0	0	0	1	0	0
부산은 쌍도 아니다 시발놈아 저새끼들 이미 라도멀티돼서 쌍도 아니다 아 자존심상한다	0	0	0	0	0	1	0	0	0	0	0
걍 한국 보지만 거르삼	1	0	0	0	0	0	0	0	0	0	0
시발 누가 노짱으로좀 달려라	0	0	0	0	0	0	0	0	1	0	0
예능도 보지들 축구하던데 바로 티비 껐다	1	0	0	0	0	0	0	0	0	0	0
지하철 기관사하면 연봉은 7000 대충 600은 땡기겟노	0	0	0	0	0	0	0	0	0	1	0
레몬테라스가 애미뒤진 맘충들이지	1	0	0	0	0	0	0	0	0	0	0
미친 종교쟁이 새끼들 진짜 짱깨들 한테 배워야할 딱 한가지는 개독과 개슬람을 안믿는거다	0	0	0	1	0	0	1	0	0	0	0
제발 다문화 문제점에 관한글은 다른데도좀 많이 쓰면 안되냐 맨날 일베이올리면 뭐함 일베충들밖에 안보는데	0	0	0	0	0	0	0	0	0	1	0
지금 자칭 폐미들 하는것 보면 여자니까 대우해 달라는거 맞잖아 추전 장관 별로 안좋하는데 저 말은 동의한다 자칭 폐미는 뇌가 우동사리라서 특혜와 평등을 동일시하는 경향이 있더라고	1	0	0	0	0	0	0	0	0	0	0
어그로네씨발	0	0	0	0	0	0	0	0	1	0	0
대께문이라 하는 사람들 개신교 사람들인것 같은 생각드네요	0	0	0	0	0	0	1	0	0	0	0
아니 시발 의무도 안질거면서 권리 달라는 병신같은 날강도 마인드가 어딧냐 존나 어이털리네	0	0	0	0	0	0	0	0	1	0	0
한국 교회를 잘 리더해주실 총회장님 응원하며 기도합니다	0	0	0	0	0	0	0	0	0	1	0
생후 3살 짜리 여자애에게 풀메시켜서 모델시키는데 보기 좀 딱하더라 안그래도 충분히 예쁜애기인데	0	0	0	0	0	0	0	0	0	1	0
한남 답이 없노	0	1	0	0	0	0	0	0	0	0	0
좆중고딩 금지시키자는게 요런 이유때문에 아니겄노	0	0	0	0	1	0	0	0	0	0	0
골빈년들 몰살시키고싶다	1	0	0	0	0	0	0	0	0	0	0
이거 합성이다	0	0	0	0	0	0	0	0	0	1	0
한남충들 한국여자 만날생각하노 재기 생각은 왜 안하노	0	1	0	0	0	0	0	0	0	0	0
병신3으로 보이노	0	0	0	0	0	0	0	0	1	0	0
너희들이나 잘하세요	0	0	0	0	0	0	0	0	1	0	0
닭사모 새끼들 서울로 올라오지좀 마라대구에서 짜져 있으라고	0	0	0	0	0	1	0	0	0	0	0
디테일한 묘사에 전 성자련 토하고 가노ᆢᆢ 하나같이 비실멸치 좆돼지고 성욕만 오짐	0	1	0	0	0	0	0	0	0	0	0
나도 안보려고했는데 앞으로 자지품평하고 줄세울 이런 좋은기회가 다신없을수도 있다고 생각하니까 투표욕구가 생겼노	0	1	0	0	0	0	0	0	0	0	0
인류의 퇴보야 이건	0	0	0	0	0	0	0	0	1	0	0
경상도에서 문재인칭찬하면 얼굴에 침뱉는다	0	0	0	0	0	1	0	0	0	0	1
내말이 그말이다우리나라 동성애 한다고회사에서 쫓겨나고 벌금내고 승진기회 박탈하고 처벌 하는 나라가 아니잖아근데도 차별금지법이라니 기가찬다	0	0	0	0	0	0	0	1	0	0	0
좆같은 좆족 짱깨 씨발새끼들 운동권은 미국 대사관이 아니라 짱깨 대사관에 가서 불을 질러라 좀	0	0	0	1	0	0	0	0	0	0	0
분탕홍어가 만선이구나	0	0	0	0	0	1	0	0	0	0	0
저비율과 일베에 오는 홍어비율이너무나 같다는데 소름	0	0	0	0	0	1	0	0	0	0	0
쟤네 티비출연이나 안 시켰으면 꼴도 보기 싫음	0	0	0	0	0	0	0	0	1	0	0
무슬림들은 서로 형제라면서 미친놈들아	0	0	0	1	0	0	1	0	0	0	0
참 골때려	0	0	0	0	0	0	0	0	0	1	0
부산에도 홍어 많이 살고결정적으로 성자가 분탕 홍어	0	0	0	0	0	1	0	0	0	0	0
코스피 1700인거는 게이들아 왜 말이없누	0	0	0	0	0	0	0	0	0	1	0
원하는대로 행동하네	0	0	0	0	0	0	0	0	0	1	0
사람을 저렇게 몰아세워도 되나	0	0	0	0	0	0	0	0	0	1	0
짱께가 일본인인척 하는거 아님	0	0	0	1	0	0	0	0	0	0	0
이미 전국민을 상대로 세뇌가 진행 중이었구나	0	0	0	0	0	0	0	0	1	0	0
황재노조는 없어져야 함	0	0	0	0	0	0	0	1	0	0	0
착홍죽홍착짱죽짱착똥죽똥	0	0	0	1	0	0	0	0	0	0	0
월욜마다 주말에 광안리에서 술먹고 여자 돌림빵 때린 영웅담이 펼쳐지던 시절	1	0	0	0	0	0	0	0	0	0	0
아니 저 여자를 욕할건 없지	0	0	0	0	0	0	0	0	0	1	0
요즘 헬스 약물 어쩌고 그거 남성호르몬 이슈되는거 반대로 여성호르몬 처맞는게 아닐까 의심되는 멸치 투블럭 뿔테충들 극혐 그런 놈들은 군대 10년 끌려가도 아가리 닫고 있을놈들임	0	0	0	0	0	0	0	0	1	0	0
도망가는게 문제가아니라고 으그	0	0	0	0	0	0	0	0	0	1	0
외국 범죄학 강의에서도 우리나라 주민등록제랑 지문수집제도가 모범사례로 나온대더라	0	0	0	0	0	0	0	0	0	1	0
이제 쉐도우복싱 나올타이밍	0	0	0	0	0	0	0	0	0	1	0
어차피 지잡대 수시 예비는 100번대까지 다 돈다	0	0	0	0	0	0	0	1	0	0	0
내 전남충 얘기노 후팔놈	0	0	0	0	0	0	0	0	1	0	0
난 이발언에 찬성이요	0	0	0	0	0	0	0	0	0	1	0
중국인인척해라	0	0	0	1	0	0	0	0	0	0	0
너 여권보여달라고 했으면 좆될뻔했네	0	0	0	0	0	0	0	0	1	0	0
아니 그닥 이해하고싶지않던데그냥 늙으면 뒈져야지	0	0	0	0	1	0	0	0	0	0	0
인간이 아니지 저것들은	0	0	0	0	0	0	0	0	1	0	0
카더라 좆까 씨팔아	0	0	0	0	0	0	0	0	1	0	0
그정도는 중국에서 세탁으로 없애주면 되잖아	0	0	0	0	0	0	0	0	0	1	0
제2의 홀리워터 생산 공장 풀가동 중이노	0	0	0	0	0	0	0	0	0	1	0
뭘 시급해 이년아 니나라로 꺼져	0	0	0	1	0	0	0	0	0	0	0
조선족 무작정 까는건 아니라고본다 너네들 지금하는게 1910년대 일본의 헌병경찰시대랑 뭐가다르냐 각성해라	0	0	0	0	0	0	0	0	0	1	0
똥꼬충은 솔직히 극혐이다	0	0	1	0	0	0	0	0	0	0	0
사진 멋진데	0	0	0	0	0	0	0	0	0	1	0
뽐뿌 보배 틀니사이트	0	0	0	0	1	0	0	0	0	0	0
키야 사스가 갓스시녀	1	0	0	1	0	0	0	0	0	0	0
문법 공부 부터 다시좀	0	0	0	0	0	0	0	0	1	0	0
130403 입소했는데 플랜카드 만들어서 흔들다가 소인사장교한테끌려가서 퇴소당할뻔했다	0	0	0	0	0	0	0	0	0	1	0
동성애독재법 결사반대	0	0	1	0	0	0	0	0	0	0	0
좆같은 15살짜리 페미 트위터보다 맘충블로그가 낫다	1	0	0	0	0	0	0	0	0	0	0
북괴 두만강쪽도 저런 시체 넘쳐나잖아	0	0	0	0	0	0	0	0	1	0	0
허위매물 방지를 위해 공인감별사 국가공인자격시험 실시	0	0	0	0	0	0	0	0	0	1	0
중국인이 왜 집단적 한글패치를 해가지고 우리사회를 혼란에 빠트림	0	0	0	1	0	0	0	0	0	0	0
게이는 왜 한남에서 빼는거노 이기야	0	1	1	0	0	0	0	0	0	0	0
탈북자들도 못믿어	0	0	0	1	0	0	0	0	0	0	0
태생이 범죄충	0	0	0	0	0	0	0	0	1	0	0
이게 실화였다면 을매나 좋겠노 광광	0	0	0	0	0	0	0	0	0	1	0
야 꺼져 요새 이런거로 트러블없어 억지로 조장하지마	0	0	0	0	0	0	0	0	1	0	0
그냥 거절하면 끝난거지 저런것까지 처벌하면 인된다	0	0	0	0	0	0	0	0	0	1	0
닉값하네 니아날 니 아날 너의 똥꾸멍	0	0	0	0	0	0	0	0	1	0	0
좆같이도생겻노 씨발나라말아쳐먹은년	0	0	0	0	0	0	0	0	1	0	0
햇님 누명 벗고 복권해야 한다 이니문강간자집아	0	1	0	0	0	0	0	0	0	0	0
개독이 동성애인건 뭔 씹혼종이냐	0	0	1	0	0	0	1	0	0	0	0
밥먹다가 글보고 입맛떨어짐	0	0	0	0	0	0	0	0	1	0	0
잘했노 개짓거리하러 동남아 가는 새끼들이 뚫린 주둥아리라고 나불나불 한남좆병신들은 모가지 따야 조용해지노	0	1	0	1	0	0	0	0	0	0	0
문재앙표 개돼지 노조나라	0	0	0	0	0	0	0	1	0	0	1
다행히 나는 한건도 없다근데 만나는 여자도 없다 뭔진몰라도 다행인거 같다	0	0	0	0	0	0	0	0	0	1	0
탈북자들이 오히려 북파공작원들 일수도있다황개도 거짓투항해서 적벽대전에서 이겼잔아불붙인배 조조선쪽으로 보내서	0	0	0	1	0	0	0	0	0	0	0
같은 거 중고로 사주면 되지 않나	0	0	0	0	0	0	0	0	0	1	0
이민호는 피부좋은여자 좋다고 햇는데 당연히 수지지	0	0	0	0	0	0	0	0	0	1	0
대구서구에 이슬람옷입은 사람들 존나많음	0	0	0	0	0	0	0	0	0	1	0
홍어좆 같은 넘이노	0	0	0	0	0	1	0	0	0	0	0
나년윽 아이티는 아니지만 생명공학가노	0	0	0	0	0	0	0	0	0	1	0
부럽다 오래가라 김치녀 만나지말고	1	0	0	0	0	0	0	0	0	0	0
뭐 지들이 지들 돈으로 혼수로 들여온다면야 상관 없는데	0	0	0	0	0	0	0	0	1	0	0
여자 씩씩하니까 군대도 좀 가라 무임안보 승차하지말고	1	0	0	0	0	0	0	0	0	0	0
아 저 맞는애 훚앙에 박고 앂다	0	0	0	0	0	0	0	0	1	0	0
이건 민주화유공자로 특별사면시키야된다	0	0	0	0	0	0	0	0	0	1	0
좆주작이겠지만 신고하면 조사받고 골치아파진다	0	0	0	0	0	0	0	0	1	0	0
아메리칸 히스토리 x	0	0	0	0	0	0	0	0	0	1	0
무슬림새끼들 조상은 돼지고기 잘먹었음 이게팩트	0	0	0	1	0	0	1	0	0	0	0
아무리 의사라도 저거 손댔다가잘못되면 처벌받을수있지않나	0	0	0	0	0	0	0	0	0	1	0
성락의 성이 그성이였냐	0	0	0	0	0	0	0	0	0	1	0
야우리먹자골목 양꼬치골목은 씨발중국에 온거같더라 짱깨들이 사장이고 아주 개지랄남	0	0	0	1	0	0	0	0	0	0	0
갓양남이 아니라 목 썰어 죽일 개슬림 새끼 같은데	0	0	0	1	0	0	0	0	0	0	0
구형은 쇼다	0	0	0	0	0	0	0	0	1	0	0
지랄 이럴때만 기독교 인용하냐	0	0	0	0	0	0	0	0	1	0	0
1절만 해라	0	0	0	0	0	0	0	0	1	0	0
진짜개슬람새끼들 우리나라와서 민폐부리면어카냐	0	0	0	0	0	0	1	0	0	0	0
아기가 어떻게생겼든 뱃속에 품고 있던 아기였는데  모성애 도 없는 나쁜x	1	0	0	0	0	0	0	0	0	0	0
EU랑 빠이했으니 무슬림도 이제 안녕임	0	0	0	1	0	0	1	0	0	0	0
쌍도에서는 평범한 일상이잖아	0	0	0	0	0	1	0	0	0	0	0
연기나 잘해라 이것들은 좀 뜨면 정치인 행세하네	0	0	0	0	0	0	0	0	1	0	0
태국 가서 티파니쇼 봤던거 기억난당	0	0	0	0	0	0	0	0	0	1	0
게이들아 내수시장 씹창내게 소비조금줄이고 전부다 금고에 저금하라 이기야	0	0	0	0	0	0	0	0	1	0	0
좆은 다 미개하노	0	1	0	0	0	0	0	0	0	0	0
으 원래같았음 정화짤보고 왜 상폐 가져왔냐고 욕했을텐데 허겁지겁 눈정화했노	0	0	0	0	1	0	0	0	0	0	0
홍어가 경상도를 죽이고있다	0	0	0	0	0	1	0	0	0	0	0
우리나라도 난민입국 찬성한다고 시위하는 미친 개병신새끼들 보면 한숨만 나온다	0	0	0	1	0	0	0	0	0	0	0
납작만두란 말 없애고만두피 쌈이라고 솔직하게 말해라	0	0	0	0	0	0	0	0	0	1	0
예전 초딩 아니 국민학교책에 내세울거없어서 단일민족 부심만 부리던것들이이제 다문화에 국가예산 다 쏟아부음	0	0	0	1	0	0	0	0	0	0	0
몸에 좋잖아 얘들아 장단점이 있는거지맨날 피자햄버거 처먹는데 저게 입에 맞겠냐	0	0	0	0	0	0	0	0	1	0	0
보혐 충전 완료	1	0	0	0	0	0	0	0	0	0	0
일부러 설치안함 만화보느라 나가질 않음	0	0	0	0	0	0	0	0	0	1	0
구냥 조용히 사드소 뭘그리 불만이노	0	0	0	0	0	0	0	0	0	1	0
솔까 게이가 부럽다 김치년들에게 피 빨릴 일도 없고 보지 한번 먹어보겠다고 보빨 할 필요도 없잖아 문제는 남자가 안땡긴다는 게 문제인	1	0	1	0	0	0	0	0	0	0	0
필리핀년한테 왜이리 관심을주냐	0	0	0	1	0	0	0	0	0	0	0
아니 여자는 어린게 뭐 탱글탱글 풋풋한 느낌이 좋아서 찾는다지만급식새끼들은 떡 스킬도 적고 중딩이면 꼬추도 성장중일텐데뭐가 좋다고 따먹엇노	1	0	0	0	1	0	0	0	0	0	0
허미 틀딱새끼 뭐 저딴걸 사쳐먹노 할배입맛이노	0	0	0	0	1	0	0	0	0	0	0
왜 도망가 나도 공유하자고요	0	0	0	0	0	0	0	0	0	1	0
그냥 끼리끼리 만나는거임 불량식품 쳐먹으면 배탈남 안전한음식 먹으면 건강해짐 제대로 교육받고 집안좋은 여자 만나라 이목 집중되거나 불편한건 알아서 서로 조심함	0	0	0	0	0	0	0	0	0	1	0
여유증인거 자랑하고 싶어서	0	0	0	0	0	0	0	0	1	0	0
거의 9개월만에 들어와서 다시 정신 다잡는중이다이기야 좋은글 고맙노	0	0	0	0	0	0	0	0	0	1	0
팩폭 날리노	0	0	0	0	0	0	0	0	0	1	0
대한민국 동성애 합법화 결사반대 우리 아이들 미래가달렸다	0	0	1	0	0	0	0	0	0	0	0
저렇게하니사우디가잘살잖아 한국봐라 암탉이우니 자살율1위됬잖아	1	0	0	0	0	0	0	0	0	0	0
참 길게도 썼네요	0	0	0	0	0	0	0	0	0	1	0
개쌍도 자택서 검거	0	0	0	0	0	1	0	0	0	0	0
걍 이 시극에 모인것 부터가 잘못인데	0	0	0	0	0	0	0	0	0	1	0
맘충이라고 탓하기전에 다치거나 죽으면 보상도 좆도 조금해주면서 전역시켜버리는 국방부씨발롬들이 문제가 크지 입대할때는 나라의자식 다치면 느그자식 씨발롬들	0	0	0	0	0	0	0	1	0	0	0
탁아소에 애 좀 그만 맡기고 남편 월급 루팡 짓 좀 그만해라	1	0	0	0	0	0	0	0	0	0	0
우린 여자니까 어케 해도 자댕이처럼 될숭없다	0	1	0	0	0	0	0	0	0	0	0
맘충들 동태탕 한사바리 먹여라 좆족맘충 대거포진일거야	1	0	0	1	0	0	0	0	0	0	0
설현스타킹 헠헠	0	0	0	0	0	0	0	0	0	1	0
뉴스 조회수 올려줘서 기자들은 개꿀임	0	0	0	0	0	0	0	0	0	1	0
똥꼬충들 후장 풍혈이라 지갑넣고 빗넣고 이것저것 넣고 다니는거 아니었노 똥꼬충들 주는 물건 쓰지마라 똥묻음 윾엒	0	0	1	0	0	0	0	0	0	0	0
도퇘지들 참학교일이라면 관심은 많아가지고 자들자들	0	1	0	0	0	0	0	0	0	0	0
10년전 아니냐	0	0	0	0	0	0	0	0	0	1	0
정치병 플러스 개독의 조합이군이런 벌레새끼들이 득실대니 개소리가 난무하지	0	0	0	0	0	0	1	0	0	0	0
이쁜애들은 상단바도 깨끗하다 못생긴애들은 상단바도 지들처럼 더러움	0	0	0	0	0	0	0	0	1	0	0
어쩌라고 니애미애비분탕좆족 새키야	0	0	0	1	0	0	0	0	0	0	0
진짜 노인들은 박멸해야된다 50넘는순간 국가에서 거세시켜야됨	0	0	0	0	1	0	0	0	0	0	0
래퍼라서 그런가 글을 잘쓰네	0	0	0	0	0	0	0	0	0	1	0
뭐 사실이던 아니던 참교육 시킨게 뭐 그래도 나은선택 일거다 딱 10년전에 체벌 금지 되어서 그때 중학교 들어가던 급식들이 안맞고 자라서 현재도 급식 이거나 학식 된거거든 사회 무서운줄 모르고 깝치는새끼들 많은데 니가 그래도 용기를 낸거다	0	0	0	0	1	0	0	0	0	0	0
차별금지법은 인권의 탈을 쓴 악법 중의 악법이다	0	0	0	0	0	0	0	1	0	0	0
풉 어이재기	0	0	0	0	0	0	0	0	0	1	0
멋진녀석 부럽다 너가	0	0	0	0	0	0	0	0	0	1	0
시발 진짜 드러워 죽겠네 정말	0	0	0	0	0	0	0	0	1	0	0
이년 앵나 다 떠먹여주노 하고왔다이기 양심에 손을 얹고 가라이기 지나치면 안되노	0	0	0	0	0	0	0	0	0	1	0
막짤씹극혐	0	0	0	0	0	0	0	0	1	0	0
인종청소 함가야겠노	0	0	0	1	0	0	0	0	0	0	0
똥남아년 나올줄알았는데눈과 마음이 정화된다	1	0	0	1	0	0	0	0	0	0	0
꼭 똥송한 존못새끼들이 옷 잘입으면 달라진다고 생각함걍 현실을 받아들여라	0	0	0	1	0	0	0	0	0	0	0
페미는 집단이기주의다 이기야	1	0	0	0	0	0	0	0	0	0	0
한국인도 아닌새끼들이 무슨 나라일을 보는 공무원이야	0	0	0	1	0	0	0	0	0	0	0
이건 지역이 문제임	0	0	0	0	0	1	0	0	0	0	0
한국어 모르는 거 보니 니 새기가 짱개간첩인 듯	0	0	0	1	0	0	0	0	0	0	0
신박 좋아하시네 원래 로고가 저런데 씹병신 눈깔 삔놈아	0	0	0	0	0	0	0	0	1	0	0
역시 편돌이로 썩기엔 아까운 인재야	0	0	0	0	0	0	0	0	0	1	0
저러다가 피해자 나오면 입 싹 닫을거노 제주도 아기천사들 봊나 위험하노	0	0	0	0	0	0	0	0	0	1	0
지금은 아이들이나 고령층을 위해 모두 조심할때 성소수자 아니어도 비난 받았을듯 해요 등교 못하는 아이들 치사율높은 고령층 좀더 내아이 조카 부모 조부모를 위해서 참았어야지요	0	0	0	0	0	0	0	0	0	1	0
하나은행 swift code 구글링 해봐라 이기	0	0	0	0	0	0	0	0	0	1	0
저건 원래 pc열풍 전에도 여주 좆같이 생기고 그랬던걸로 아는데	1	0	0	0	0	0	0	0	0	0	0
일베에 암거하고있는 좃족 홍어들도 모두 소탕시켜주세요 아멘	0	0	0	1	0	1	0	0	0	0	0
아 기독교 잡것들 다 불태워버리고싶네	0	0	0	0	0	0	1	0	0	0	0
틀무새 또 폭동이노	0	0	0	0	1	0	0	0	0	0	0
틀딱까는 글 한두개면 멀라도 보다보니 틀딱보다 노잼인새끼들이 줜나게 나대네	0	0	0	0	1	0	0	0	0	0	0
똥꼬충집단 신라의 후예답네	0	0	1	0	0	0	0	0	0	0	0
20대인데 나 죽고 내 손자세대까지 통일안됬으면 좋겠다 반세기넘게 단절된 사람들한테 동질감은 들지않고 언어만같은 사람이 사는곳이라고 인식한다	0	0	0	0	0	0	0	0	1	0	0
개슬람 새끼들 남의나라 처들어가서 사는주제에 감내놔라 배내놔라 지림	0	0	0	0	0	0	1	0	0	0	0
어디 최씹니꺼	0	0	0	0	0	0	0	0	0	1	0
2D로 대동단결	0	0	0	0	0	0	0	0	0	1	0
게이가 벼슬이 되는 시대	0	0	1	0	0	0	0	0	0	0	0
반박불가 진심으로 한남만 재기하면 봊쾌적해짐 퍄	0	1	0	0	0	0	0	0	0	0	0
전라도는 진짜 다르구나	0	0	0	0	0	1	0	0	0	0	0
자지작은 좆부랄들은 여자찾지말고 지들끼리 좆말대고놀아라이기	0	1	0	0	0	0	0	0	0	0	0
한남이 쿰척거릴 만한 모든 동남아 중앙아시아 국가에 망혼해봤자 코리아드림 이딴거 없고 틀딱한남충들 강간이나 하는게 일상이라고 대대적으로 알리고 싶노	0	1	0	1	1	0	0	0	0	0	0
이거보면 코로나사태가 신이 없다고 반증해주는것 같다	0	0	0	0	0	0	0	0	0	1	0
2010년 주화	0	0	0	0	0	0	0	0	0	1	0
윗선에 분위기 파악 못하는 꼴통들만 있는듯	0	0	0	0	0	0	0	0	1	0	0
역시 피싸개들이 맘충 소리 듣는건 자업자득귀가 얇고가랑이가 가볍고	1	0	0	0	0	0	0	0	0	0	0
인권이라는 가면 뒤에 다수를 차별하고 갈등을 초래하는 차별금지법안 철회를 강력히 요구합니다	0	0	1	0	0	0	0	0	0	0	0
은근 커여움	0	0	0	0	0	0	0	0	0	1	0
남 죄 관리말고 자기 죄나 관리하자	0	0	0	0	0	0	0	0	1	0	0
아진짜 트젠이랑 섹스하고싶다	0	0	0	0	0	0	0	0	1	0	0
시발 개슬람	0	0	0	1	0	0	1	0	0	0	0
동의헙니다	0	0	0	0	0	0	0	0	0	1	0
질문하는거 찍어서 올리면 천베 예상	0	0	0	0	0	0	0	0	0	1	0
솔직히 여자가 죽을만했다 여자가 페미 스타일에 머리를 하고 있슴	1	0	0	0	0	0	0	0	0	0	0
옥자환은 어떻게 착용하냐	0	0	0	0	0	0	0	0	0	1	0
그러니까 니들이 노땅 노인내 소릴 듣는거다 군대나 갔다와 이 샹늠아 니 면제도 받아들이기 어렵다	0	0	0	0	1	0	0	0	0	0	0
마누라가 저능안가보네	0	0	0	0	0	0	0	1	0	0	0
봊좋노 잘 써먹겠다 이기야	0	0	0	0	0	0	0	0	1	0	0
매브니 열려라 제발제발제발	0	0	0	0	0	0	0	0	0	1	0
저런 새끼들이 재기 제삿상에 복숭아 갖다놓고 처앉아있는 놈들이다이기	0	0	0	0	0	0	0	0	1	0	0
혐오 표현 금지시키면 대다수 영화 드라마 노래 다 금지된다이기 제정신인 나라가 아니노	0	0	0	0	0	0	0	1	0	0	0
황폐해진 세상과 마음의 복음이 푸른 숲을 이루길 기도합니다	0	0	0	0	0	0	0	0	0	1	0
조선족은 마인드 자체가 한국인이 아니잖아그러면 한국인이 아닌 것임고려인은 자신을 외국에 거주하는 한국인으로 인식하고 행동하는데 여기까지만 동포로 치는게 맞다고 본다	0	0	0	1	0	0	0	0	0	0	0
다문화 폭동 일어나야 되겠노	0	0	0	1	0	0	0	0	0	0	0
동성애는 정신질환이며 뇌수술로 치유될 수 있다	0	0	1	0	0	0	0	0	0	0	0
50대 70대는 다 이번에 오세훈 찍었어 존만아40대 분탕틀딱새끼야	0	0	0	0	1	0	0	0	0	0	0
집에서 기도하면 기도빨이 안먹히나욧	0	0	0	0	0	0	0	0	0	1	0
아줌마 섹스좋아하게 생겼네	0	0	0	0	0	0	0	0	1	0	0
쌍도남들 하루빨리 뒤지길 앙망	0	1	0	0	0	1	0	0	0	0	0
하 시발 아까부터 바퀴벌레 짤은 왜이렇게 많아	0	0	0	0	0	0	0	0	1	0	0
오만국제여자마라톤	0	0	0	0	0	0	0	0	0	1	0
역시 자댕이에게는 재기하고자 하는 본능이 있다 한국 남성들의 재기 본능 응원합니다	0	1	0	0	0	0	0	0	0	0	0
저 많은 수류탄은 도대체 어디서 나온 거냐	0	0	0	0	0	0	0	0	0	1	0
휴 고득점이라 다행이다	0	0	0	0	0	0	0	0	0	1	0
트렌스 젠더 ㆍ게이 등 이런 사람들 정신병자 맞다 왜 신의 영역을 거스르는가 인간은 태어나면서 성별이 정해지는법 그것을 바꿀려는게 정신병이지	0	0	1	0	0	0	0	1	0	0	0
페미는 xanggirl들	1	0	0	0	0	0	0	0	0	0	0
크 자지에 물주네	0	0	0	0	0	0	0	0	1	0	0
진짜 지저분한 새끼들 많음	0	0	0	0	0	0	0	0	1	0	0
돈줄테닌까 애새끼 낳아주고 꺼지라그래	0	0	0	0	0	0	0	0	1	0	0
박사모좆족새끼들 진심 죽여야된다	0	0	0	1	0	0	0	0	0	0	0
정치학적으로 저게 맞는거다보수가 존나 어리버리 까고 있는거다 중도적인 선택만큼 멍청한것도 없다	0	0	0	0	0	0	0	0	1	0	0
한국여자들은 잠재적 아동학대범	1	0	0	0	0	0	0	0	0	0	0
저 시절에 이미 본질을 깨달으신 분이네	0	0	0	0	0	0	0	0	0	1	0
메시아가모냐	0	0	0	0	0	0	0	0	0	1	0
전라도 경상도 사람들 존나 생선비린내 나더라 가까이가도 존나 비린내 썩은내 존나 남	0	0	0	0	0	1	0	0	0	0	0
소통과 공감으로 한국교회가 하나되길 바라며  성탄절에는 교회가서 예배 드리길 기도합니다	0	0	0	0	0	0	0	0	0	1	0
난 지하철 같은데서 남자끼리 응딩이만 닿아도 소름끼치고 불쾌하던데걍 남자몸은 너무 더러운거같음	0	1	0	0	0	0	0	0	0	0	0
그냥 이혼후 합리화 아닐까	0	0	0	0	0	0	0	0	1	0	0
이런새끼들이 보지 손한번 잡아볼라고 교회가서 성경책보는 븅신새끼들 좀 언행일치하면서 살어라 씨발놈들아	1	0	0	0	0	0	1	0	0	0	0
생긴것도 변태같긴함	0	0	0	0	0	0	0	0	1	0	0
북한으로 가라 지들 말로는 종교의 자유가 있다고 했다	0	0	0	0	0	0	0	0	1	0	0
이민자나 난민대처방법은 일본이나 중국따라하면 되는데한국은 존나 웃기게 똥송주제에 유로피안정책배끼려함	0	0	0	1	0	0	0	0	0	0	0
병슨놈이 찡찡찡 일기적고 앉았노	0	0	0	0	0	0	0	0	1	0	0
와 시발 보지에 전구넣고 깨버리기 전에 시발 찰지노 와	1	0	0	0	0	0	0	0	0	0	0
미국지잡다니는데 우리학교 화장실 절반 넘게 남녀공용임	0	0	0	0	0	0	0	1	0	0	0
김치좆들은 후아무치라서 주제파악들을 못한다이기야	0	1	0	0	0	0	0	0	0	0	0
팩트 커피믹스는 1976년 12월에 동서식품에서 최초로 개발하였으며 2천년대 초반에 절취선을 뜯기 쉽게 개량하여 판매량이 증가하였다	0	0	0	0	0	0	0	0	0	1	0
시발 품번 빨리	0	0	0	0	0	0	0	0	1	0	0
으 폭동이다	0	0	0	0	0	0	0	0	1	0	0
조현병의 고향	0	0	0	0	0	0	0	1	0	0	0
원래 정신병인듯	0	0	0	0	0	0	0	0	1	0	0
남자를 증오 한다면서 왜 남자가 되고 싶어 하냐	0	0	0	0	0	0	0	0	1	0	0
하아 시발 동성애자새끼들 일렬로 세워놓고 드럼식탄창 끼운 톰슨 기관총으로 쏴죽이고싶다다 쏴죽이고 중절모 눌러쓰고 시가물고 돌아서고싶네	0	0	1	0	0	0	0	0	0	0	0
일본은 상식이 통하는 사회이다 우린 야비한 위증과 거짓으로 한 밑천 대박 노리는 기생충 사회다	0	0	0	1	0	0	0	0	0	0	0
혐오조장이 후장충파티 목적이면 똥꼬충들 전부 M이노	0	0	1	0	0	0	0	0	0	0	0
근데 이런건 여초 이용해서 몰아내야된다	0	0	0	0	0	0	0	0	1	0	0
캬악퉤 미개한것들이 진짜 짬지하나도 흑좆나 징그럽노	0	0	0	0	0	0	0	0	1	0	0
자동화하면 없애라	0	0	0	0	0	0	0	0	0	1	0
근데 이건 이이제이 아니냐	0	0	0	0	0	0	0	0	0	1	0
좆놈 아재 상폐들 다 짜르고 그냥 일반인 뽑아라이니야	0	1	0	0	0	0	0	0	0	0	0
남자끼리 페미니즘 동아리 만들고 간식 냠냠 해도 되겠노	0	0	0	0	0	0	0	0	0	1	0
허세를 부리는 남자가있어 허세를	0	0	0	0	0	0	0	0	0	1	0
오늘도 베리나 목소리들으면서 자야지 얼굴은 싫어 멈춰	0	0	0	0	0	0	0	0	1	0	1
짱깨를 제재해야	0	0	0	1	0	0	0	0	0	0	0
마지막 소추새끼 불알 터뜨리고 밟아서 으깨버리고싶노	0	1	0	0	0	0	0	0	0	0	0
설라디언 무시하면 안된다	0	0	0	0	0	1	0	0	0	0	0
인증은 워추노 이기	0	0	0	0	0	0	0	0	0	1	0
까고 있네	0	0	0	0	0	0	0	0	1	0	0
