문장	사전라벨	abuse_prob	검수	여성/가족	남성	성소수자	인종/국적	연령	지역	종교	기타 혐오	악플/욕설	clean
아 오케이	clean	0.065		0	0	0	0	0	0	0	0	0	1
아니 나 자기야	clean	0.065		0	0	0	0	0	0	0	0	0	1
오예에	clean	0.065		0	0	0	0	0	0	0	0	0	1
우리 그러니까 맨 위에 올라간 사람은 점프를 한 다음에 그거 맞춰야 돼요	clean	0.065		0	0	0	0	0	0	0	0	0	1
이렇게 할게요	clean	0.065		0	0	0	0	0	0	0	0	0	1
그렇지 들어가	clean	0.064		0	0	0	0	0	0	0	0	0	1
야 자세해	clean	0.064		0	0	0	0	0	0	0	0	0	1
한 명 올라가야겠다	clean	0.064		0	0	0	0	0	0	0	0	0	1
노란색님 준비되셨어요	clean	0.063		0	0	0	0	0	0	0	0	0	1
맨 마지막에는 한 명만 남으면 되는 거예요	clean	0.063		0	0	0	0	0	0	0	0	0	1
안 닿는데	clean	0.063		0	0	0	0	0	0	0	0	0	1
야 요시	clean	0.063		0	0	0	0	0	0	0	0	0	1
여기서 그러면 한 칸씩 움직여야겠죠	clean	0.063		0	0	0	0	0	0	0	0	0	1
요시 다 올라가면 안돼요	clean	0.063		0	0	0	0	0	0	0	0	0	1
요시죠	clean	0.063		0	0	0	0	0	0	0	0	0	1
이거 점프했어야 돼	clean	0.063		0	0	0	0	0	0	0	0	0	1
이렇게 해야겠네	clean	0.063		0	0	0	0	0	0	0	0	0	1
일로 가야돼	clean	0.063		0	0	0	0	0	0	0	0	0	1
평화	clean	0.063		0	0	0	0	0	0	0	0	0	1
서로 그냥 서로 얘기하는 거예요	clean	0.062		0	0	0	0	0	0	0	0	0	1
아 가자	clean	0.062		0	0	0	0	0	0	0	0	0	1
아 님들	clean	0.062		0	0	0	0	0	0	0	0	0	1
오늘 해볼것은요 맞습니다	clean	0.062		0	0	0	0	0	0	0	0	0	1
좋아요 좋아요	clean	0.062		0	0	0	0	0	0	0	0	0	1
출발	clean	0.062		0	0	0	0	0	0	0	0	0	1
행복	clean	0.062		0	0	0	0	0	0	0	0	0	1
바로 시작해보도록 하겠습니다	clean	0.061		0	0	0	0	0	0	0	0	0	1
아니아니 계단하자고 계단 이렇게 아니 계단하자고 계단 일로 가야돼	clean	0.061		0	0	0	0	0	0	0	0	0	1
계단계단계단계단 나이스 나이스 올라오세요	clean	0.06		0	0	0	0	0	0	0	0	0	1
그러면 아우 너무 쉬운데	clean	0.06		0	0	0	0	0	0	0	0	0	1
아 뭐	clean	0.06		0	0	0	0	0	0	0	0	0	1
아니 나 엉클을 해봤지	clean	0.06		0	0	0	0	0	0	0	0	0	1
우리부터 봐요	clean	0.06		0	0	0	0	0	0	0	0	0	1
이거 어몽어스 그것 때문에 안 맞아	clean	0.06		0	0	0	0	0	0	0	0	0	1
이지	clean	0.06		0	0	0	0	0	0	0	0	0	1
이지하네요	clean	0.06		0	0	0	0	0	0	0	0	0	1
좋았다	clean	0.06		0	0	0	0	0	0	0	0	0	1
계단 이게 삼각형을 만들 수 있거든요	clean	0.059		0	0	0	0	0	0	0	0	0	1
아 이렇게요	clean	0.059		0	0	0	0	0	0	0	0	0	1
좋아	clean	0.059		0	0	0	0	0	0	0	0	0	1
좋았다 좋았다	clean	0.059		0	0	0	0	0	0	0	0	0	1
믿음	clean	0.058		0	0	0	0	0	0	0	0	0	1
예 좋아요	clean	0.058		0	0	0	0	0	0	0	0	0	1
정말 너무 똑똑해 너무 쉽다	clean	0.058		0	0	0	0	0	0	0	0	0	1
그렇기 때문에 내가 한번 밟아볼게 이거 한 명이라고 인식할 수 있단 말이지 굉장히 싱크빅이었다	clean	0.057		0	0	0	0	0	0	0	0	0	1
그렇지 그렇지 아니 나와	clean	0.057		0	0	0	0	0	0	0	0	0	1
그렇지 좋았다 좋았다	clean	0.057		0	0	0	0	0	0	0	0	0	1
나이스	clean	0.057		0	0	0	0	0	0	0	0	0	1
아 다 했네	clean	0.057		0	0	0	0	0	0	0	0	0	1
야 똑똑해	clean	0.057		0	0	0	0	0	0	0	0	0	1
요시	clean	0.057		0	0	0	0	0	0	0	0	0	1
이거 할 수 있었는데 와	clean	0.057		0	0	0	0	0	0	0	0	0	1
저 뜁니다	clean	0.057		0	0	0	0	0	0	0	0	0	1
시스템이 안 맞다	clean	0.056		0	0	0	0	0	0	0	0	0	1
2학년 3반	clean	0.055		0	0	0	0	0	0	0	0	0	1
아 님들 화이팅	clean	0.055		0	0	0	0	0	0	0	0	0	1
이야 오늘 가슴이 따뜻해졌나요	clean	0.055		0	0	0	0	0	0	0	0	0	1
점프	clean	0.055		0	0	0	0	0	0	0	0	0	1
그거 잘 맞	clean	0.054		0	0	0	0	0	0	0	0	0	1
그렇지 오세요	clean	0.054		0	0	0	0	0	0	0	0	0	1
계단 타	clean	0.053		0	0	0	0	0	0	0	0	0	1
사랑	clean	0.053		0	0	0	0	0	0	0	0	0	1
아 진짜 아쉽다	clean	0.053		0	0	0	0	0	0	0	0	0	1
이거 13초라는 거 같은데 내가 봤을 때 이건 타임어택인 거 같아	clean	0.053		0	0	0	0	0	0	0	0	0	1
나야	clean	0.052		0	0	0	0	0	0	0	0	0	1
아 그거였어	clean	0.052		0	0	0	0	0	0	0	0	0	1
민호야	clean	0.051		0	0	0	0	0	0	0	0	0	1
아야	clean	0.051		0	0	0	0	0	0	0	0	0	1
키 좀 크지	clean	0.051		0	0	0	0	0	0	0	0	0	1
나 이거 잘했어	clean	0.05		0	0	0	0	0	0	0	0	0	1
아니 이즈 맞아요	clean	0.05		0	0	0	0	0	0	0	0	0	1
그게 맞는 것 같아요	clean	0.049		0	0	0	0	0	0	0	0	0	1
아 이렇게 좋았습니다	clean	0.048		0	0	0	0	0	0	0	0	0	1
아 좋았습니다	clean	0.048		0	0	0	0	0	0	0	0	0	1
빨간 인포임	clean	0.046		0	0	0	0	0	0	0	0	0	1
어몽어스가 제일 쉬웠던 것 같습니다	clean	0.044		0	0	0	0	0	0	0	0	0	1
